"Area","Item","Element","Unit","Year","Year_Value","Flag"
"United States of America","Mules","Stocks","Head","1972",25000,"F"
"United States of America","Mules","Stocks","Head","1973",25000,"F"
"United States of America","Mules","Stocks","Head","1974",25000,"F"
"United States of America","Mules","Stocks","Head","1975",25000,"F"
"United States of America","Mules","Stocks","Head","1976",25000,"F"
"United States of America","Mules","Stocks","Head","1977",26000,"F"
"United States of America","Mules","Stocks","Head","1978",26000,"F"
"United States of America","Mules","Stocks","Head","1979",26000,"F"
"United States of America","Mules","Stocks","Head","1980",26000,"F"
"United States of America","Mules","Stocks","Head","1981",26000,"F"
"United States of America","Mules","Stocks","Head","1982",26000,"F"
"United States of America","Mules","Stocks","Head","1983",28000,"F"
"United States of America","Mules","Stocks","Head","1984",28000,"F"
"United States of America","Mules","Stocks","Head","1985",28000,NA
"United States of America","Mules","Stocks","Head","1986",28000,"F"
"United States of America","Mules","Stocks","Head","1987",28000,"F"
"United States of America","Mules","Stocks","Head","1988",28000,"F"
"United States of America","Mules","Stocks","Head","1989",28000,"F"
"United States of America","Mules","Stocks","Head","1990",28000,"F"
"United States of America","Mules","Stocks","Head","1991",28000,"F"
"United States of America","Mules","Stocks","Head","1992",28000,"F"
"United States of America","Mules","Stocks","Head","1993",28000,"F"
"United States of America","Mules","Stocks","Head","1994",28000,"F"
"United States of America","Mules","Stocks","Head","1995",28000,"F"
"United States of America","Mules","Stocks","Head","1996",28000,"F"
"United States of America","Mules","Stocks","Head","1997",28000,"F"
"United States of America","Mules","Stocks","Head","1998",28000,"F"
"United States of America","Mules","Stocks","Head","1999",28000,"F"
"United States of America","Mules","Stocks","Head","2000",28000,"F"
"United States of America","Mules","Stocks","Head","2001",28000,"F"
"United States of America","Mules","Stocks","Head","2002",28000,"F"
"United States of America","Mules","Stocks","Head","2003",28000,"F"
"United States of America","Mules","Stocks","Head","2004",28000,"F"
"United States of America","Mules","Stocks","Head","2005",28000,"F"
"United States of America","Mules","Stocks","Head","2006",0,"F"
"United States of America","Mules","Stocks","Head","2007",0,"F"
"United States of America","Mules","Stocks","Head","2008",0,"F"
"United States of America","Mules","Stocks","Head","2009",0,"F"
"United States of America","Mules","Stocks","Head","2010",0,"F"
"United States of America","Mules","Stocks","Head","2011",0,"F"
"United States of America","Mules","Stocks","Head","2012",0,"F"
"United States of America","Mules","Stocks","Head","2013",0,"F"
"United States of America","Mules","Stocks","Head","2014",0,"F"
"United States of America","Mules","Stocks","Head","2015",0,"F"
"United States of America","Mules","Stocks","Head","2016",0,"F"
"United States of America","Mules","Stocks","Head","2017",0,"F"
"United States of America","Mules","Stocks","Head","2018",295,"Im"
"United States of America","Pigs","Stocks","Head","1961",55560000,NA
"United States of America","Pigs","Stocks","Head","1962",61837008,NA
"United States of America","Pigs","Stocks","Head","1963",62726000,NA
"United States of America","Pigs","Stocks","Head","1964",62060000,NA
"United States of America","Pigs","Stocks","Head","1965",56106000,NA
"United States of America","Pigs","Stocks","Head","1966",50519008,NA
